,Location 1,longitude,latitude,type
118,"903 Curley St Baltimore, MD ",0.0,0.0,park
119,"900 Hull St Baltimore, MD ",-76.5899472,39.2755078,park
120,"3214 Wylie Ave Baltimore, MD ",-76.6688671,39.3405149,park
121,"2810 Indiana Ave Baltimore, MD ",-76.6346354,39.2607142,park
122,"501 Pratt St Baltimore, MD ",0.0,0.0,park
123,"2809 Glen Ave Baltimore, MD ",-76.6783041,39.3600909,park
124,"342 Matingale Ave Baltimore, MD ",0.0,0.0,park
125,"4700 Reisterstown Rd Baltimore, MD ",-76.674034,39.340991,park
126,"140 Janney St Baltimore, MD ",0.0,0.0,park
127,"800 Biddle St Baltimore, MD ",-76.5260694,39.3093234,park
128,"6200 Pratt St Baltimore, MD ",0.0,0.0,park
129,"4210 Woodridge Rd Baltimore, MD ",-76.6867817,39.2968472,park
130,"3401 Taylor Ave Baltimore, MD ",-76.5374364,39.3688015,park
131,"2610 Keyworth Ave Baltimore, MD ",-76.6611721551,39.3339119,park
132,"4714 Kimberleigh Rd Baltimore, MD ",-76.6031142481,39.3464152054,park
133,"2209 Hunter St Baltimore, MD ",-76.6132298,39.3148688,park
134,"1800 Aiken St Baltimore, MD ",-76.6010858,39.3106146,park
135,"2001 Lafayette Ave Baltimore, MD ",-76.7366219,39.2806598,park
136,"816 Arlington Ave Baltimore, MD ",-76.7057479,39.226499,park
137,"2761 Wegworth La Baltimore, MD ",-76.641112104,39.25406325,park
138,"1529 Fort Ave Baltimore, MD ",-76.445901,39.2038512,park
139,"4500 Gough St Baltimore, MD ",-76.5581482,39.2890908,park
140,"836 Hollins St Baltimore, MD ",-76.6298697,39.2880841,park
141,"525 Hurley Ave Baltimore, MD ",-76.6628332333,39.2778955,park
142,"2601 Biddle St Baltimore, MD ",-76.5260694,39.3093234,park
143,"2325 Madison Ave Baltimore, MD ",-76.6373287,39.312386,park
144,"1050 Caroline St Baltimore, MD ",0.0,0.0,park
145,"1900 Maisel St Baltimore, MD ",-76.6477585,39.2703145,park
146,"709 North Ave Baltimore, MD ",-76.4596949,39.310429,park
147,"3600 Mulberry St Baltimore, MD ",0.0,0.0,park
148,"520 McMechen St Baltimore, MD ",-76.6323039,39.3039413,park
149,"1000 33rd St Baltimore, MD ",-76.5229999,39.326323,park
150,"2657 Miles Ave Baltimore, MD ",-76.6224668,39.3194096,park
151,"2920 Harford Rd Baltimore, MD ",-76.5874406626,39.3242168,park
152,"801 Montpelier St Baltimore, MD ",-76.6063338559,39.32539205,park
153,"4901 Denview Way Baltimore, MD ",-76.5338513,39.3234229,park
154,"2415 Tolley St Baltimore, MD ",-76.648459846,39.26588655,park
155,"Franklintown Rd Baltimore, MD ",-76.6673464,39.2978162,park
156,"2905 Baltimore St Baltimore, MD ",-76.5251439,39.295335,park
157,"Mount Royal Ter Baltimore, MD ",-76.6255807,39.3113872,park
158,"1 Mt Vernon Pl Baltimore, MD ",0.0,0.0,park
159,"4000 Old York Rd Baltimore, MD ",-76.6077585,39.3382078,park
160,"2323 Greenmount Ave Baltimore, MD ",-76.60912,39.3160941,park
161,"699 Newington Ave Baltimore, MD ",-76.6294872,39.313408,park
162,"1400 North Ave Baltimore, MD ",0.0,0.0,park
163,"6800 Hamlet Ave Baltimore, MD ",-76.5590866259,39.3675412,park
164,"2101 Rogers Ave Baltimore, MD ",0.0,0.0,park
165,"1021 Linwood Ave Baltimore, MD ",-76.5364124,39.3718398,park
166,"1301 Lanvale St Baltimore, MD ",0.0,0.0,park
167,"1000 Janney St Baltimore, MD ",0.0,0.0,park
168,"3902 Pall Mall Rd Baltimore, MD ",-76.659843,39.3350756,park
169,"1600 2200 Park Ave Baltimore, MD ",0.0,0.0,park
170,"1335 Stricker St Baltimore, MD ",0.0,0.0,park
