,cameraLocation,cameraNumber,cameraProject,Location 1,longitude,latitude,type
156,Carver Rd Rec Center,351,Cherry Hill,"(39.246398470557722, -76.624347830690354)",-76.6243478307,39.2463984706,cctv
157,Maint Backyard 1,352,Cherry Hill,"(39.248239556242559, -76.630860418081284)",-76.6308604181,39.2482395562,cctv
158,Maint Backyard 2,353,Cherry Hill,"(39.248008993870499, -76.630664616823196)",-76.6306646168,39.2480089939,cctv
159,Community Center (rear),354,Cherry Hill,"(39.24849608195489, -76.629692316055298)",-76.6296923161,39.248496082,cctv
160,Maint Garage Doors,355,Cherry Hill,"(39.247959142447137, -76.631044149398804)",-76.6310441494,39.2479591424,cctv
161,Community Center 2 (rear),356,Cherry Hill,"(39.248111812319252, -76.6305211186409)",-76.6305211186,39.2481118123,cctv
162,Eastern Ave and S Macon St,401,Greektown,"(39.287016000000001, -76.557327000000001)",-76.557327,39.287016,cctv
163,Eastern Ave and Oldham St,402,Greektown,"(39.287050000000001, -76.555809999999994)",-76.55581,39.28705,cctv
164,Eastern Ave and S Lehigh St,403,Greektown,"(39.287142000000003, -76.558053000000001)",-76.558053,39.287142,cctv
165,Eastern Ave and S Newkirk St,404,Greektown,"(39.287033999999998, -76.556591999999995)",-76.556592,39.287034,cctv
166,Eastern Ave and S Ponca St,405,Greektown,"(39.287101999999997, -76.554980999999998)",-76.554981,39.287102,cctv
167,Guilford Ave and E 28th St,501,Greenmount,"(39.32208, -76.613155000000006)",-76.613155,39.32208,cctv
168,Greenmount Ave and E 28th St,502,Greenmount,"(39.322150000000001, -76.609508000000005)",-76.609508,39.32215,cctv
169,Greenmount Ave and E 27th St,503,Greenmount,"(39.320922000000003, -76.609532000000002)",-76.609532,39.320922,cctv
170,Barclay St and E 27th St,504,Greenmount,"(39.320880000000002, -76.611146000000005)",-76.611146,39.32088,cctv
171,Barclay St and Whitridge Ave,505,Greenmount,"(39.321522999999999, -76.611159000000001)",-76.611159,39.321523,cctv
172,Greenmount Ave and E Lorraine Ave,506,Greenmount,"(39.320011999999998, -76.609532000000002)",-76.609532,39.320012,cctv
173,Guilford Ave and E 26th St,507,Greenmount,"(39.319519999999997, -76.612954000000002)",-76.612954,39.31952,cctv
174,Falls St Alley and E 25th St,508,Greenmount,"(39.318060000000003, -76.612168999999994)",-76.612169,39.31806,cctv
175,Greenmount Ave and E 25th St,509,Greenmount,"(39.318148000000001, -76.609463000000005)",-76.609463,39.318148,cctv
176,Boone St and E 24th St,510,Greenmount,"(39.316587576869253, -76.608768403530121)",-76.6087684035,39.3165875769,cctv
177,Cokesbury Ave and E 23rd St,511,Greenmount,"(39.316037000000001, -76.607444999999998)",-76.607445,39.316037,cctv
178,Brentwood Ave and E 24th St,512,Greenmount,"(39.316257, -76.610428999999996)",-76.610429,39.316257,cctv
179,Greenmount Ave and E 23rd St,513,Greenmount,"(39.315491000000002, -76.609523999999993)",-76.609524,39.315491,cctv
180,Guilford Ave and E 23rd St,514,Greenmount,"(39.315424, -76.612717000000004)",-76.612717,39.315424,cctv
181,E 23rd St and Boone St,515,Greenmount,"(39.315440000000002, -76.608204000000001)",-76.608204,39.31544,cctv
182,Greenmount Ave and E 22nd St,516,Greenmount,"(39.314506999999999, -76.609555999999998)",-76.609556,39.314507,cctv
183,HomewoodAve and E 22nd St,517,Greenmount,"(39.314627999999999, -76.607321999999996)",-76.607322,39.314628,cctv
184,BarclaySt and 21st1/2 St,518,Greenmount,"(39.314009206095243, -76.611210554838181)",-76.6112105548,39.3140092061,cctv
185,GuilfordAve and E 21st St,519,Greenmount,"(39.313395999999997, -76.612605000000002)",-76.612605,39.313396,cctv
186,BooneSt and E 21st St,520,Greenmount,"(39.313540000000003, -76.608453999999995)",-76.608454,39.31354,cctv
187,Greenmount Ave and Worsley St,521,Greenmount,"(39.312736999999998, -76.609537000000003)",-76.609537,39.312737,cctv
188,Barclay St and E 20th St,522,Greenmount,"(39.312432000000001, -76.611052000000001)",-76.611052,39.312432,cctv
189,Barclay St and Heaver St,523,Greenmount,"(39.312016999999997, -76.61103)",-76.61103,39.312017,cctv
190,Greenmount Ave and E North Ave,524,Greenmount,"(39.311215950332382, -76.609618663787842)",-76.6096186638,39.3112159503,cctv
191,E North Ave and Guilford Ave,525,Greenmount,"(39.311306000000002, -76.611808999999994)",-76.611809,39.311306,cctv
192,N Calvert St and McAllister St,526,Greenmount,"(39.310576764688527, -76.613631248474121)",-76.6136312485,39.3105767647,cctv
193,Guilford Ave and E Lafayette Ave,527,Greenmount,"(39.310091, -76.612380000000002)",-76.61238,39.310091,cctv
194,Barclay St and E Lafayette Ave,528,Greenmount,"(39.310032999999997, -76.610892000000007)",-76.610892,39.310033,cctv
195,Barclay St and Pitman Pl,529,Greenmount,"(39.308463000000003, -76.610750999999993)",-76.610751,39.308463,cctv
196,Greenmount Ave and E Preston St,530,Greenmount,"(39.304839000000001, -76.608198999999999)",-76.608199,39.304839,cctv
197,Greenmount Ave and E Biddle St,531,Greenmount,"(39.303781999999998, -76.607929999999996)",-76.60793,39.303782,cctv
198,Greenmount Ave and E Chase St,532,Greenmount,"(39.302734000000001, -76.607641999999998)",-76.607642,39.302734,cctv
199,Greenmount Ave and E Eager St,533,Greenmount,"(39.301361, -76.607269000000002)",-76.607269,39.301361,cctv
200,Greenmount Ave and E 29th St,534,Greenmount,"(39.324668506886333, -76.612491308403833)",-76.6124913084,39.3246685069,cctv
201,Greenmount Ave and E 30th St,535,Greenmount,"(39.323561803873233, -76.608828638501038)",-76.6088286385,39.3235618039,cctv
202,Greenmount Ave and E 31st St,536,Greenmount,"(39.325619074558503, -76.608588963083704)",-76.6085889631,39.3256190746,cctv
203,Greenmount Ave and E 32nd St,537,Greenmount,"(39.327658005347253, -76.609099552615518)",-76.6090995526,39.3276580053,cctv
204,Greenmount Ave and E 33rd St,538,Greenmount,"(39.328971981558936, -76.609427388260741)",-76.6094273883,39.3289719816,cctv
205,E Monument St and N Chester St,601,Monument,"(39.298647000000003, -76.587868999999998)",-76.587869,39.298647,cctv
206,McElderry St and N Duncan St,602,Monument,"(39.297607091153168, -76.587149798870087)",-76.5871497989,39.2976070912,cctv
207,E Monument St and Collington,603,Monument,"(39.298690999999998, -76.586667000000006)",-76.586667,39.298691,cctv
208,E Madison St and N Mederia St,604,Monument,"(39.299697261790918, -76.585991084575653)",-76.5859910846,39.2996972618,cctv
209,E Monument St and N Patterson Park Ave,605,Monument,"(39.298669827220472, -76.584993302822113)",-76.5849933028,39.2986698272,cctv
210,McElderry St and N Bradford St,606,Monument,"(39.297621620856617, -76.584298610687256)",-76.5842986107,39.2976216209,cctv
211,E Monument St and N Montford Ave,607,Monument,"(39.298806999999996, -76.583720999999997)",-76.583721,39.298807,cctv
212,E Madison St and N Port,608,Monument,"(39.299892999999997, -76.583081000000007)",-76.583081,39.299893,cctv
213,E Monument St and N Milton Ave,609,Monument,"(39.298861000000002, -76.582318999999998)",-76.582319,39.298861,cctv
214,McElderry St and N Rose St,610,Monument,"(39.297810506700003, -76.581468880200006)",-76.5814688802,39.2978105067,cctv
215,E Monument St and N Luzerne Ave,611,Monument,"(39.298915000000001, -76.580905000000001)",-76.580905,39.298915,cctv
216,E Madison St and N Glover St,612,Monument,"(39.299996999999998, -76.580263000000002)",-76.580263,39.299997,cctv
217,E Monument St and N Lakewood Ave,613,Monument,"(39.298966, -76.579492999999999)",-76.579493,39.298966,cctv
218,McElderry St and N Belnord Ave,614,Monument,"(39.297950614048887, -76.578631103038788)",-76.578631103,39.297950614,cctv
219,E Monument St and N Kenwood Ave,615,Monument,"(39.299028999999997, -76.578085000000002)",-76.578085,39.299029,cctv
220,E Madison St and N Streeper St,616,Monument,"(39.300113000000003, -76.577437000000003)",-76.577437,39.300113,cctv
221,McElderry St and N Linwood Ave,617,Monument,"(39.297907025134357, -76.57646656036377)",-76.5764665604,39.2979070251,cctv
222,E Monument St and N Curley St,618,Monument,"(39.299112000000001, -76.575962000000004)",-76.575962,39.299112,cctv
223,McElderry St and N Potomac St,619,Monument,"(39.298065813192402, -76.575066447257996)",-76.5750664473,39.2980658132,cctv
224,E Monument St and Decker,620,Monument,"(39.299093256600003, -76.574417352699996)",-76.5744173527,39.2990932566,cctv
225,E Madison St and N Ellwood Ave,621,Monument,"(39.300243000000002, -76.573908000000003)",-76.573908,39.300243,cctv
226,E Monument St and N Robinson St,622,Monument,"(39.299225, -76.573121)",-76.573121,39.299225,cctv
227,E Madison St and N Curley St,623,Monument,"(39.300151, -76.576040000000006)",-76.57604,39.300151,cctv
228,McElderry St and N Robinson St,624,Monument,"(39.298040905285539, -76.573086977005005)",-76.573086977,39.2980409053,cctv
229,Milton St and E Biddle St,625,Monument,"(39.304777000000001, -76.582694000000004)",-76.582694,39.304777,cctv
230,Montford St and Ashland Ave,626,Monument,"(39.300884552380921, -76.584317046748225)",-76.5843170467,39.3008845524,cctv
231,N Collington St and E Jefferson St,627,Monument,"(39.296416312853111, -76.586668586782082)",-76.5866685868,39.2964163129,cctv
232,E Jefferson St and N Glover St,628,Monument,"(39.296763545127817, -76.579963795700948)",-76.5799637957,39.2967635451,cctv
233,Thomas Ave and Presbury St,701,North Ave West,"(39.307524000000001, -76.658071000000007)",-76.658071,39.307524,cctv
234,Thomas Ave and Westwood Ave,702,North Ave West,"(39.308432000000003, -76.658114999999995)",-76.658115,39.308432,cctv
235,W North Ave and Thomas Ave,703,North Ave West,"(39.309430999999996, -76.658180000000002)",-76.65818,39.309431,cctv
