,cameraLocation,cameraNumber,cameraProject,Location 1,longitude,latitude,type
463,534 Preston St,2005,McCulloh,"(39.2994445713, -76.627014840900003)",-76.6270148409,39.2994445713,cctv
464,503 Dolphin St,2006,McCulloh,"(39.300440885, -76.627710906700003)",-76.6277109067,39.300440885,cctv
465,535 Hoffman St,2007,McCulloh,"(39.299036022700001, -76.627951580900003)",-76.6279515809,39.2990360227,cctv
466,570 Preston St,2008,McCulloh,"(39.298552511899999, -76.627312922300007)",-76.6273129223,39.2985525119,cctv
467,556 Preston St,2009,McCulloh,"(39.298862438299999, -76.626914038199999)",-76.6269140382,39.2988624383,cctv
468,516 Preston St,2010,McCulloh,"(39.299079561500001, -76.626522870900004)",-76.6265228709,39.2990795615,cctv
469,514 Preston St,2011,McCulloh,"(39.299364911700003, -76.626601136299996)",-76.6266011363,39.2993649117,cctv
470,1020 Druid Hill Rd,2012,McCulloh,"(39.299944205000003, -76.626479001500002)",-76.6264790015,39.299944205,cctv
471,1135 Tiffany Ct,2013,McCulloh,"(39.302018245500001, -76.625956896399998)",-76.6259568964,39.3020182455,cctv
472,1101 Tiffany Ct,2014,McCulloh,"(39.301602996699998, -76.625438251999995)",-76.625438252,39.3016029967,cctv
473,1035 Tiffany Ct,2015,McCulloh,"(39.300995861192078, -76.625379849189699)",-76.6253798492,39.3009958612,cctv
474,1001 Tiffany Ct,2016,McCulloh,"(39.300815108099997, -76.624463592400005)",-76.6244635924,39.3008151081,cctv
475,440 Oxford Ct,2017,McCulloh,"(39.300550491700001, -76.625118487500004)",-76.6251184875,39.3005504917,cctv
476,443 Manse Ct,2018,McCulloh,"(39.301373687800002, -76.626496719299993)",-76.6264967193,39.3013736878,cctv
477,1134 Stoddard Ct,2019,McCulloh,"(39.3011098319, -76.627157996400001)",-76.6271579964,39.3011098319,cctv
478,1100 Stoddard Ct,2020,McCulloh,"(39.300701899499998, -76.626653211600001)",-76.6266532116,39.3007018995,cctv
479,1034 Stoddard Ct,2021,McCulloh,"(39.300325881200003, -76.626190746999995)",-76.626190747,39.3003258812,cctv
480,1000 Stoddard Ct,2022,McCulloh,"(39.299891022700002, -76.625654182000005)",-76.625654182,39.2998910227,cctv
481,442 Walton Ct,2023,McCulloh,"(39.299978103100003, -76.624747493800001)",-76.6247474938,39.2999781031,cctv
482,900 Stoddard Ct,2024,McCulloh,"(39.2989138943, -76.624478359600005)",-76.6244783596,39.2989138943,cctv
483,1638 Bruce Ct (rear),2101,Gilmore,"(39.307301043898839, -76.644212532490343)",-76.6442125325,39.3073010439,cctv
484,1638 Bruce Ct,2102,Gilmore,"(39.307275671799999, -76.645597160999998)",-76.645597161,39.3072756718,cctv
485,1600 Bruce Ct (rear),2103,Gilmore,"(39.307301043898839, -76.644212532490343)",-76.6442125325,39.3073010439,cctv
486,1605 Bruce Ct,2104,Gilmore,"(39.307301043898839, -76.644212532490343)",-76.6442125325,39.3073010439,cctv
487,1601 Bakbury Ct,2105,Gilmore,"(39.307427718714969, -76.643890288047984)",-76.643890288,39.3074277187,cctv
488,1679 Bakbury Ct,2106,Gilmore,"(39.307862028199999, -76.645106384599998)",-76.6451063846,39.3078620282,cctv
489,1678 Mountmor Ct,2107,Gilmore,"(39.307759654714587, -76.642965181000818)",-76.642965181,39.3077596547,cctv
490,1600 Mountmor Ct,2108,Gilmore,"(39.3068001197, -76.6447164386)",-76.6447164386,39.3068001197,cctv
491,1600 Vincent Ct,2109,Gilmore,"(39.306818836600002, -76.644299108799999)",-76.6442991088,39.3068188366,cctv
492,1606 Vincent Ct,2110,Gilmore,"(39.3074507205, -76.644448813099999)",-76.6444488131,39.3074507205,cctv
493,1679 Vincent Ct,2111,Gilmore,"(39.307471450870644, -76.643610028536614)",-76.6436100285,39.3074714509,cctv
494,1641 Vincent Ct,2112,Gilmore,"(39.307393215899999, -76.644124656900004)",-76.6441246569,39.3073932159,cctv
495,1600 Spray Ct,2113,Gilmore,"(39.30586749958497, -76.64405307738943)",-76.6440530774,39.3058674996,cctv
496,1605-2 Spray Ct,2114,Gilmore,"(39.305785955600001, -76.644515020499995)",-76.6445150205,39.3057859556,cctv
497,1601-8 Spray Ct,2115,Gilmore,"(39.305900989800001, -76.644091696100006)",-76.6440916961,39.3059009898,cctv
498,1500 Pressman Ct,2116,Gilmore,"(39.305455128600002, -76.643905963899996)",-76.6439059639,39.3054551286,cctv
499,1519 Presser Ct,2117,Gilmore,"(39.305726004100002, -76.643559925299996)",-76.6435599253,39.3057260041,cctv
500,Prestman St and Gilmor St,2118,Gilmore,"(39.305304986490292, -76.643798951040964)",-76.643798951,39.3053049865,cctv
501,1638 Balmor Ct,2119,Gilmore,"(39.305191825999998, -76.644086363100001)",-76.6440863631,39.305191826,cctv
502,1458 Mountmor Ct,2120,Gilmore,"(39.305247873799999, -76.6446301159)",-76.6446301159,39.3052478738,cctv
503,1428 Mountmor Ct,2121,Gilmore,"(39.304809059500002, -76.644510936000003)",-76.644510936,39.3048090595,cctv
504,1629 Balmor Ct (rear),2122,Gilmore,"(39.305304986490292, -76.643798951040964)",-76.643798951,39.3053049865,cctv
505,1401 Mountmor Ct,2123,Gilmore,"(39.3044347827, -76.644281285100007)",-76.6442812851,39.3044347827,cctv
506,1639 Booker Ct,2124,Gilmore,"(39.304472998199998, -76.644048334900006)",-76.6440483349,39.3044729982,cctv
507,1601 Booker Ct,2125,Gilmore,"(39.304574795999997, -76.643408585399996)",-76.6434085854,39.304574796,cctv
508,1629 Lorman Ct,2126,Gilmore,"(39.304000985000002, -76.643863016300003)",-76.6438630163,39.304000985,cctv
509,1631 Lorman Ct,2127,Gilmore,"(39.3040667402, -76.644225277199993)",-76.6442252772,39.3040667402,cctv
510,1649 Lorman Ct,2128,Gilmore,"(39.303959339698046, -76.643873696150877)",-76.6438736962,39.3039593397,cctv
511,1658 Delano Ct,2129,Gilmore,"(39.303491577820743, -76.643880475942325)",-76.6438804759,39.3034915778,cctv
512,1628 Delano Ct,2130,Gilmore,"(39.303760068300001, -76.643845530500002)",-76.6438455305,39.3037600683,cctv
513,1600 Delano Ct,2131,Gilmore,"(39.303491577820743, -76.643880475942325)",-76.6438804759,39.3034915778,cctv
514,1521 Mountmor Ct,2132,Gilmore,"(39.30729341320874, -76.644573904997316)",-76.644573905,39.3072934132,cctv
515,800 Abbott Ct,2201,Latrobe,"(39.301252981099999, -76.606166438399995)",-76.6061664384,39.3012529811,cctv
516,856 Abbott Ct,2202,Latrobe,"(39.301329715000001, -76.6050176161)",-76.6050176161,39.301329715,cctv
517,818 Webb Ct,2203,Latrobe,"(39.301008857200003, -76.605686922800004)",-76.6056869228,39.3010088572,cctv
518,800 McAleer Ct,2204,Latrobe,"(39.3002994414, -76.605957631400003)",-76.6059576314,39.3002994414,cctv
519,834 McAleer Ct,2205,Latrobe,"(39.300311914200002, -76.605297114799995)",-76.6052971148,39.3003119142,cctv
520,864 McAleer Ct,2206,Latrobe,"(39.300041873700003, -76.604740619899999)",-76.6047406199,39.3000418737,cctv
521,831 McAleer Ct,2207,Latrobe,"(39.299977143500001, -76.6052816304)",-76.6052816304,39.2999771435,cctv
522,859 Homewood Ave,2208,Latrobe,"(39.299950172099997, -76.605899537599996)",-76.6058995376,39.2999501721,cctv
523,820 Hillman Ct,2209,Latrobe,"(39.299387499600002, -76.605709727499999)",-76.6057097275,39.2993874996,cctv
524,819 Hillman Ct,2210,Latrobe,"(39.299349693300002, -76.606075805900005)",-76.6060758059,39.2993496933,cctv
525,819 Homewood Ave,2211,Latrobe,"(39.301308069100003, -76.604304248700004)",-76.6043042487,39.3013080691,cctv
526,916 Webb Ct,2212,Latrobe,"(39.300778553999997, -76.603732930299998)",-76.6037329303,39.300778554,cctv
527,921 Webb Ct,2213,Latrobe,"(39.300437637400002, -76.604302853899995)",-76.6043028539,39.3004376374,cctv
528,922 Ashland Ct,2214,Latrobe,"(39.300222632100002, -76.603784759600003)",-76.6037847596,39.3002226321,cctv
529,859 McAleer Ct,2215,Latrobe,"(39.299822194800001, -76.604397336999995)",-76.604397337,39.2998221948,cctv
530,943 Wilmot Ct,2216,Latrobe,"(39.299207368099999, -76.603901042800004)",-76.6039010428,39.2992073681,cctv
531,1000 Abbott Ct,2217,Latrobe,"(39.3013607878, -76.602739491299999)",-76.6027394913,39.3013607878,cctv
532,1101 Webb Ct,2218,Latrobe,"(39.300600819000003, -76.602714787799997)",-76.6027147878,39.300600819,cctv
533,1000 Ashland Ct,2219,Latrobe,"(39.300271800099999, -76.602871424200004)",-76.6028714242,39.3002718001,cctv
534,1020 McAleer Ct,2220,Latrobe,"(39.299868547199999, -76.603117526099993)",-76.6031175261,39.2998685472,cctv
535,1001 McAleer Ct,2221,Latrobe,"(39.299715513499997, -76.603547252499993)",-76.6035472525,39.2997155135,cctv
536,1116 McAleer Ct,2222,Latrobe,"(39.300148589199999, -76.602135833000006)",-76.602135833,39.3001485892,cctv
537,1130 McAleer Ct,2223,Latrobe,"(39.299909153199998, -76.602239340200001)",-76.6022393402,39.2999091532,cctv
538,1101 Wilmot Ct,2224,Latrobe,"(39.299287831299999, -76.602728710899996)",-76.6027287109,39.2992878313,cctv
539,901 Valley Ct,2225,Latrobe,"(39.300227999999997, -76.604705999999993)",-76.604706,39.300228,cctv
540,901 Valley Ct,2226,Latrobe,"(39.300227999999997, -76.604705999999993)",-76.604706,39.300228,cctv
541,901 McAleer Ct,2227,Latrobe,"(39.29965, -76.604635999999999)",-76.604636,39.29965,cctv
542,200 Spring Ct,2301,Perkins,"(39.288974239799998, -76.598313985600001)",-76.5983139856,39.2889742398,cctv
543,299 Spring Ct,2302,Perkins,"(39.287503727000001, -76.598044038200001)",-76.5980440382,39.287503727,cctv
544,264 Ballou Ct,2303,Perkins,"(39.2880273743, -76.597513632100004)",-76.5975136321,39.2880273743,cctv
545,229 Ballou Ct,2304,Perkins,"(39.288607452299999, -76.597212806200005)",-76.5972128062,39.2886074523,cctv
546,269 Dallas Ct,2305,Perkins,"(39.288149116, -76.596439407899993)",-76.5964394079,39.288149116,cctv
547,231 Mason Ct,2306,Perkins,"(39.288642230000001, -76.595773403099997)",-76.5957734031,39.28864223,cctv
548,299 Mason Ct,2307,Perkins,"(39.2876245462, -76.595752986899996)",-76.5957529869,39.2876245462,cctv
549,295 Mason Ct,2308,Perkins,"(39.2876798677, -76.595630791100007)",-76.5956307911,39.2876798677,cctv
550,200 Herring Ct,2309,Perkins,"(39.289112821300002, -76.595016511099999)",-76.5950165111,39.2891128213,cctv
551,270 Herring Ct,2310,Perkins,"(39.2880371173, -76.595337532200006)",-76.5953375322,39.2880371173,cctv
552,299 Herring Ct,2311,Perkins,"(39.2876651606, -76.594826320099997)",-76.5948263201,39.2876651606,cctv
553,354 Spring Ct,2312,Perkins,"(39.286491394700001, -76.598156452799998)",-76.5981564528,39.2864913947,cctv
554,Community Building,2313,Perkins,"(39.286951707900002, -76.597738824900006)",-76.5977388249,39.2869517079,cctv
555,1413 Gough St,2314,Perkins,"(39.287355871700001, -76.597432644899996)",-76.5974326449,39.2873558717,cctv
556,319 Ballou Ct,2315,Perkins,"(39.287110948600002, -76.597126314299999)",-76.5971263143,39.2871109486,cctv
557,330 Ballou Ct,2316,Perkins,"(39.2868832013, -76.597370629099998)",-76.5973706291,39.2868832013,cctv
558,326 Dallas Ct,2317,Perkins,"(39.287014668899999, -76.596626179500007)",-76.5966261795,39.2870146689,cctv
559,336 Mason Ct,2318,Perkins,"(39.2868506334, -76.596044637199995)",-76.5960446372,39.2868506334,cctv
560,329 Mason Ct,2319,Perkins,"(39.286979638600002, -76.5957165457)",-76.5957165457,39.2869796386,cctv
561,326 Herring Ct,2320,Perkins,"(39.287065456100002, -76.595261173699996)",-76.5952611737,39.2870654561,cctv
562,231 Orleans St,2401,PVG,"(39.294578571199999, -76.604043038100002)",-76.6040430381,39.2945785712,cctv
563,310 Forrest St,2402,PVG,"(39.294542796099996, -76.603084520500005)",-76.6030845205,39.2945427961,cctv
564,1110 New Hope Cir,2403,PVG,"(39.293739504800001, -76.601852599500006)",-76.6018525995,39.2937395048,cctv
565,1021 New Hope Cir,2404,PVG,"(39.293245954500001, -76.602703800300006)",-76.6027038003,39.2932459545,cctv
566,1008 New Hope Cir,2405,PVG,"(39.293911856299999, -76.603234208499998)",-76.6032342085,39.2939118563,cctv
567,1124 Colvin St,2406,PVG,"(39.292945798600002, -76.601830969000005)",-76.601830969,39.2929457986,cctv
568,215 Saint Mathews St,2407,PVG,"(39.293632188799997, -76.603893050799996)",-76.6038930508,39.2936321888,cctv
569,1100 Colvin St,2408,PVG,"(39.292618239699998, -76.603336866999996)",-76.603336867,39.2926182397,cctv
570,SE Corner of N Tot Lot,2409,PVG,"(39.294234879599998, -76.602139996199995)",-76.6021399962,39.2942348796,cctv
571,NW Corner of S Tot Lot,2410,PVG,"(39.293295260000001, -76.602212902399998)",-76.6022129024,39.29329526,cctv
572,SE Corner of W Tot Lot,2411,PVG,"(39.2930222098, -76.603181076499993)",-76.6031810765,39.2930222098,cctv
573,Courtyard Play Area,2412,PVG,"(39.293431252600001, -76.601326081699995)",-76.6013260817,39.2934312526,cctv
574,NE Elderly Bldg Central Ave,2413,PVG,"(39.293473126199999, -76.600139368300006)",-76.6001393683,39.2934731262,cctv
575,NE Community Center,2414,PVG,"(39.293917434000001, -76.601228335399995)",-76.6012283354,39.293917434,cctv
576,SE Elderly Bldg CentralAve,2415,PVG,"(39.292853416200003, -76.600115942800002)",-76.6001159428,39.2928534162,cctv
577,SW Elderly Bldg FayetteSt,2416,PVG,"(39.292815763599997, -76.600696993599996)",-76.6006969936,39.2928157636,cctv
578,Elderly Bldg Court Yard,2417,PVG,"(39.293000499400002, -76.600684489599999)",-76.6006844896,39.2930004994,cctv
579,Youth Center Fayette St,2418,PVG,"(39.291816666700001, -76.602983333300003)",-76.6029833333,39.2918166667,cctv
580,Daycare Center 1106 Fayette St,2419,PVG,"(39.292033634399999, -76.602226701899994)",-76.6022267019,39.2920336344,cctv
581,Daycare Center Play Area,2420,PVG,"(39.292481495899999, -76.601997844699994)",-76.6019978447,39.2924814959,cctv
582,NW Senior Center,2421,PVG,"(39.2934769883, -76.600734129800003)",-76.6007341298,39.2934769883,cctv
583,Greenmount and Madison,2501,Dept of Corrections,"(39.300040108901513, -76.608037511051066)",-76.6080375111,39.3000401089,cctv
584,Madison and Constitution,2502,Dept of Corrections,"(39.29889728324023, -76.609951448853508)",-76.6099514489,39.2988972832,cctv
585,Monument and Fallsway,2503,Dept of Corrections,"(39.297164133589519, -76.610634628978289)",-76.610634629,39.2971641336,cctv
586,Eager St (Widows Peak),2504,Dept of Corrections,"(39.30137500901742, -76.609774318474194)",-76.6097743185,39.301375009,cctv
587,Warden St Lot,2505,Dept of Corrections,"(39.301928097661524, -76.61026027300305)",-76.610260273,39.3019280977,cctv
588,Fallsway and Eager,2506,Dept of Corrections,"(39.300916139855531, -76.611037617352324)",-76.6110376174,39.3009161399,cctv
589,JFX South,2507,Dept of Corrections,"(39.300441691635839, -76.61106079564594)",-76.6110607956,39.3004416916,cctv
590,JFX North,2508,Dept of Corrections,"(39.299624613118652, -76.611231166926743)",-76.6112311669,39.2996246131,cctv
591,N Charles St and Center St,2601,Midtown,"(39.296588623907333, -76.615371245613787)",-76.6153712456,39.2965886239,cctv
592,N Charles St and Madison St,2602,Midtown,"(39.298204874747853, -76.615859643155588)",-76.6158596432,39.2982048747,cctv
593,N Charles St and Read Ave,2603,Midtown,"(39.299588925174533, -76.615747008035569)",-76.615747008,39.2995889252,cctv
594,Park Ave and Read St,2604,Midtown,"(39.300242641434217, -76.61862571161997)",-76.6186257116,39.3002426414,cctv
595,N Charles St and Eager St,2605,Midtown,"(39.300928290627837, -76.615753753359144)",-76.6157537534,39.3009282906,cctv
596,N Charles St and Chase St,2606,Midtown,"(39.302116821383819, -76.61592230885968)",-76.6159223089,39.3021168214,cctv
597,N Charles St and E Biddle St,2607,Midtown,"(39.303319497011273, -76.615908899597272)",-76.6159088996,39.303319497,cctv
598,N Charles St and Preston St,2608,Midtown,"(39.304624295025803, -76.616370318828061)",-76.6163703188,39.304624295,cctv
599,N Charles St and Mt Royal Ave,2609,Midtown,"(39.305447692495576, -76.616364223213708)",-76.6163642232,39.3054476925,cctv
600,N Charles St and Lanvale St,2610,Midtown,"(39.308870460173502, -76.61610089033239)",-76.6161008903,39.3088704602,cctv
601,N Charles St and North Ave,2611,Midtown,"(39.311620738528809, -76.616428653173926)",-76.6164286532,39.3116207385,cctv
602,N Charles St and 20th St,2612,Midtown,"(39.313036473695789, -76.616610334390259)",-76.6166103344,39.3130364737,cctv
