,BuildingAddress,Location,longitude,latitude,type
124,2907 WINCHESTER ST,"(39.30108813, -76.66619769)",-76.66619769,39.30108813,vacant
125,2031 ORLEANS ST,"(39.29518214, -76.5882701)",-76.5882701,39.29518214,vacant
126,3016 EDMONDSON AVE,"(39.29459084, -76.66727238)",-76.66727238,39.29459084,vacant
127,3050 EDMONDSON AVE,"(39.29456252, -76.66814195)",-76.66814195,39.29456252,vacant
128,3036 HARLEM AVE,"(39.29596426, -76.6679032)",-76.6679032,39.29596426,vacant
129,955 ELLICOTT DRIVEWAY,"(39.29843223, -76.66863655)",-76.66863655,39.29843223,vacant
130,917 ALLENDALE ST,"(39.29852452, -76.67838633)",-76.67838633,39.29852452,vacant
131,4124 WALRAD ST,"(39.28018866, -76.6842452)",-76.6842452,39.28018866,vacant
132,222 S AUGUSTA AVE,"(39.28192385, -76.68503873)",-76.68503873,39.28192385,vacant
133,4002 MAINE AVE,"(39.32748673, -76.68610865)",-76.68610865,39.32748673,vacant
134,3807 CLIFTON AVE,"(39.31038899, -76.68199412)",-76.68199412,39.31038899,vacant
135,2916 W NORTH AVE,"(39.30938097, -76.6663401)",-76.6663401,39.30938097,vacant
136,2135 KOKO LANE,"(39.31228221, -76.66306491)",-76.66306491,39.31228221,vacant
137,1905 HERBERT ST,"(39.3102319, -76.6486453)",-76.6486453,39.3102319,vacant
138,2214 BRYANT AVE,"(39.31682353, -76.6491423)",-76.6491423,39.31682353,vacant
139,2602 ROSEWOOD AVE,"(39.33892017, -76.66447909)",-76.66447909,39.33892017,vacant
140,4224 PARK HEIGHTS AVE,"(39.3371612, -76.66491026)",-76.66491026,39.3371612,vacant
141,2525 PENNSYLVANIA AVE,"(39.31069749, -76.64285033)",-76.64285033,39.31069749,vacant
142,2225 MADISON AVE,"(39.31105758, -76.63594744)",-76.63594744,39.31105758,vacant
143,850 W NORTH AVE,"(39.3111532, -76.63011842)",-76.63011842,39.3111532,vacant
144,2327 LINDEN AVE,"(39.31373953, -76.63499707)",-76.63499707,39.31373953,vacant
145,318 E 22ND ST,"(39.3147188, -76.61203734)",-76.61203734,39.3147188,vacant
146,2427 BRENTWOOD AVE,"(39.31694487, -76.61013038)",-76.61013038,39.31694487,vacant
147,808 BONAPARTE AVE,"(39.31712807, -76.6026079)",-76.6026079,39.31712807,vacant
148,2005 KENNEDY AVE,"(39.31324691, -76.60409167)",-76.60409167,39.31324691,vacant
149,1028 E 20TH ST,"(39.31295693, -76.60439148)",-76.60439148,39.31295693,vacant
150,3048 MATHEWS ST,"(39.32560298, -76.60692029)",-76.60692029,39.32560298,vacant
151,1717 E 30TH ST,"(39.32513391, -76.59136773)",-76.59136773,39.32513391,vacant
152,1240 NORTHVIEW ROAD,"(39.34271144, -76.59740536)",-76.59740536,39.34271144,vacant
153,2609 KIRK AVE,"(39.32082352, -76.59904916)",-76.59904916,39.32082352,vacant
154,2617 KIRK AVE,"(39.32095694, -76.59891495)",-76.59891495,39.32095694,vacant
155,1532 GORSUCH AVE,"(39.3223274, -76.59599805)",-76.59599805,39.3223274,vacant
156,3227 LYNDALE AVE,"(39.31628919, -76.57759621)",-76.57759621,39.31628919,vacant
157,3234 LYNDALE AVE,"(39.31661792, -76.57735883)",-76.57735883,39.31661792,vacant
158,3343 ELMORA AVE,"(39.31573241, -76.5758927)",-76.5758927,39.31573241,vacant
159,3410 ELMORA AVE,"(39.31606262, -76.57544613)",-76.57544613,39.31606262,vacant
160,4101 CHESTERFIELD AVE,"(39.31500631, -76.56185699)",-76.56185699,39.31500631,vacant
161,3808 W ROGERS AVE,"(39.35028425, -76.68663386)",-76.68663386,39.35028425,vacant
162,5213 LINDEN HEIGHTS AVE,"(39.34434508, -76.6835793)",-76.6835793,39.34434508,vacant
163,3613 HAYWARD AVE,"(39.34770543, -76.68176963)",-76.68176963,39.34770543,vacant
164,5102 PEMBRIDGE AVE,"(39.35064231, -76.67066064)",-76.67066064,39.35064231,vacant
165,3127 SUMTER AVE,"(39.34192453, -76.66732567)",-76.66732567,39.34192453,vacant
166,1022 E BELVEDERE AVE,"(39.36013075, -76.59880412)",-76.59880412,39.36013075,vacant
167,1526 MCKEAN AVE,"(39.3057461, -76.64733924)",-76.64733924,39.3057461,vacant
168,1524 MCKEAN AVE,"(39.30571205, -76.64733747)",-76.64733747,39.30571205,vacant
169,1520 MCKEAN AVE,"(39.30564069, -76.64733369)",-76.64733369,39.30564069,vacant
170,1518 MCKEAN AVE,"(39.3056031, -76.64733312)",-76.64733312,39.3056031,vacant
171,1506 N MOUNT ST,"(39.30578251, -76.64503094)",-76.64503094,39.30578251,vacant
172,1701 BAKER ST,"(39.30651272, -76.64494139)",-76.64494139,39.30651272,vacant
173,1703 BAKER ST,"(39.30651089, -76.64498928)",-76.64498928,39.30651089,vacant
174,1563 N FULTON AVE,"(39.30653612, -76.6458016)",-76.6458016,39.30653612,vacant
175,1553 N FULTON AVE,"(39.306322, -76.64590631)",-76.64590631,39.306322,vacant
176,1551 N FULTON AVE,"(39.30628891, -76.6459042)",-76.6459042,39.30628891,vacant
177,1549 N FULTON AVE,"(39.30625545, -76.64590203)",-76.64590203,39.30625545,vacant
178,1547 N FULTON AVE,"(39.30622154, -76.64589982)",-76.64589982,39.30622154,vacant
179,1543 N FULTON AVE,"(39.30615308, -76.6458954)",-76.6458954,39.30615308,vacant
180,5215 READY AVE,"(39.35340106, -76.60767632)",-76.60767632,39.35340106,vacant
181,545 CHATEAU AVE,"(39.35052578, -76.60777105)",-76.60777105,39.35052578,vacant
182,3603 6TH ST,"(39.23562314, -76.60234252)",-76.60234252,39.23562314,vacant
183,847 PONTIAC AVE,"(39.23372994, -76.59846502)",-76.59846502,39.23372994,vacant
184,2103 SIDNEY AVE,"(39.26454148, -76.63176232)",-76.63176232,39.26454148,vacant
185,1954 SPONSON ST,"(39.26340426, -76.6526376)",-76.6526376,39.26340426,vacant
186,1950 SPONSON ST,"(39.26349672, -76.65277132)",-76.65277132,39.26349672,vacant
187,2034 MAISEL ST,"(39.26773084, -76.64491188)",-76.64491188,39.26773084,vacant
188,412 NORTH BEND ROAD,"(39.28459796, -76.70936423)",-76.70936423,39.28459796,vacant
189,1201 GLENEAGLE ROAD,"(39.36387615, -76.59321334)",-76.59321334,39.36387615,vacant
190,1609 PENTWOOD ROAD,"(39.34754168, -76.58711002)",-76.58711002,39.34754168,vacant
191,4111 EIERMAN AVE,"(39.32973352, -76.5660109)",-76.5660109,39.32973352,vacant
192,3033 KENYON AVE,"(39.32430517, -76.56818736)",-76.56818736,39.32430517,vacant
193,3203 KENTUCKY AVE,"(39.3225001, -76.56923031)",-76.56923031,39.3225001,vacant
194,5415 SEWARD AVE,"(39.32813445, -76.53972016)",-76.53972016,39.32813445,vacant
195,1800 N FULTON AVE,"(39.3089469, -76.64671212)",-76.64671212,39.3089469,vacant
196,1729 N PAYSON ST,"(39.30844069, -76.64954668)",-76.64954668,39.30844069,vacant
197,1601 N PAYSON ST,"(39.30667117, -76.64944914)",-76.64944914,39.30667117,vacant
198,1633 N PAYSON ST,"(39.30735235, -76.64948828)",-76.64948828,39.30735235,vacant
199,1516 N MONROE ST,"(39.30573033, -76.64818861)",-76.64818861,39.30573033,vacant
200,1930 RIGGS AVE,"(39.30105155, -76.6490452)",-76.6490452,39.30105155,vacant
201,801 N BRICE ST,"(39.29781563, -76.6497414)",-76.6497414,39.29781563,vacant
202,1944 HARLEM AVE,"(39.29652854, -76.64887642)",-76.64887642,39.29652854,vacant
203,1816 EDMONDSON AVE,"(39.29538042, -76.64664796)",-76.64664796,39.29538042,vacant
204,1825 ARUNAH AVE,"(39.29561665, -76.64685785)",-76.64685785,39.29561665,vacant
205,631 N CALHOUN ST,"(39.29629596, -76.63968895)",-76.63968895,39.29629596,vacant
206,1009 BRANTLEY AVE,"(39.29603325, -76.63454773)",-76.63454773,39.29603325,vacant
207,510 N PULASKI ST,"(39.29398855, -76.65064574)",-76.65064574,39.29398855,vacant
208,912 BENNETT PL,"(39.29517361, -76.63276258)",-76.63276258,39.29517361,vacant
209,323 N PAYSON ST,"(39.29248019, -76.64866076)",-76.64866076,39.29248019,vacant
210,326 N MOUNT ST,"(39.29269773, -76.64426886)",-76.64426886,39.29269773,vacant
211,329 N GILMOR ST,"(39.29288194, -76.64235071)",-76.64235071,39.29288194,vacant
212,1423 W MULBERRY ST,"(39.2929171, -76.64061344)",-76.64061344,39.2929171,vacant
213,1213 W MULBERRY ST,"(39.29300931, -76.63774765)",-76.63774765,39.29300931,vacant
214,1804 PENROSE AVE,"(39.29152311, -76.64598518)",-76.64598518,39.29152311,vacant
215,17 N BRUCE ST,"(39.28874565, -76.64439938)",-76.64439938,39.28874565,vacant
216,1631 W FAYETTE ST,"(39.28940399, -76.64357453)",-76.64357453,39.28940399,vacant
217,1633 W FAYETTE ST,"(39.28940268, -76.6436145)",-76.6436145,39.28940268,vacant
218,2221 BOOTH ST,"(39.28729605, -76.65228957)",-76.65228957,39.28729605,vacant
219,1520 HOLLINS ST,"(39.2877054, -76.64173162)",-76.64173162,39.2877054,vacant
220,18 S CAREY ST,"(39.28800083, -76.63835633)",-76.63835633,39.28800083,vacant
221,2152 BOYD ST,"(39.28655526, -76.651457)",-76.651457,39.28655526,vacant
222,1314 MCHENRY ST,"(39.28471497, -76.63835145)",-76.63835145,39.28471497,vacant
223,216 S CAREY ST,"(39.28499357, -76.63818742)",-76.63818742,39.28499357,vacant
224,2010 RAMSAY ST,"(39.28322755, -76.6490279)",-76.6490279,39.28322755,vacant
225,300 S FULTON AVE,"(39.28418793, -76.64518039)",-76.64518039,39.28418793,vacant
226,1833 WILHELM ST,"(39.28357759, -76.64607915)",-76.64607915,39.28357759,vacant
227,337 S FULTON AVE,"(39.28360334, -76.64470408)",-76.64470408,39.28360334,vacant
228,310 S GILMOR ST,"(39.28411051, -76.64236654)",-76.64236654,39.28411051,vacant
229,1803 N WARWICK AVE,"(39.30862131, -76.65686715)",-76.65686715,39.30862131,vacant
230,2210 PRESSTMAN ST,"(39.30527948, -76.65285795)",-76.65285795,39.30527948,vacant
231,801 N BENTALOU ST,"(39.29716174, -76.65308236)",-76.65308236,39.29716174,vacant
232,2310 EDMONDSON AVE,"(39.29508507, -76.65369151)",-76.65369151,39.29508507,vacant
233,2528 EDMONDSON AVE,"(39.29495483, -76.65727253)",-76.65727253,39.29495483,vacant
234,1803 BRADDISH AVE,"(39.3084803, -76.66079512)",-76.66079512,39.3084803,vacant
235,1801 BRADDISH AVE,"(39.30844148, -76.66079366)",-76.66079366,39.30844148,vacant
236,2662 PRESBURY ST,"(39.3076309, -76.6604432)",-76.6604432,39.3076309,vacant
237,2706 BAKER ST,"(39.30632074, -76.6611588)",-76.6611588,39.30632074,vacant
238,1805 POPLAR GROVE ST,"(39.30835182, -76.66545206)",-76.66545206,39.30835182,vacant
239,3104 BAKER ST,"(39.30601771, -76.66938455)",-76.66938455,39.30601771,vacant
240,1514 N ELLAMONT ST,"(39.30481279, -76.67094282)",-76.67094282,39.30481279,vacant
241,4105 GROVELAND AVE,"(39.34046176, -76.68794491)",-76.68794491,39.34046176,vacant
242,3911 LIBERTY HEIGHTS AVE,"(39.32747917, -76.68414697)",-76.68414697,39.32747917,vacant
243,3312 OAKFIELD AVE,"(39.3257185, -76.68683828)",-76.68683828,39.3257185,vacant
244,3610 WINDSOR MILL ROAD,"(39.31278926, -76.67961904)",-76.67961904,39.31278926,vacant
245,2201 MOUNT HOLLY ST,"(39.31252553, -76.68163151)",-76.68163151,39.31252553,vacant
246,2902 HAVERFORD ROAD,"(39.31870332, -76.6877758)",-76.6877758,39.31870332,vacant
