,rel_type,Location 1,longitude,latitude,type
127,Church,"3403 GOUGH ST Baltimore, MD ",-76.5686314279,39.28842685,religious
128,Church,"2525 PRESTON ST Baltimore, MD ",0.0,0.0,religious
129,Church,"520 PONCA ST Baltimore, MD ",0.0,0.0,religious
130,Church,"3008 OAKLEY AVE Baltimore, MD ",-76.6708340403,39.3478165,religious
131,Church,"2214 OLIVER ST Baltimore, MD ",-76.6500448,39.3680983,religious
132,Church,"2606 GWYNNDALE AVE Baltimore, MD ",-76.7117319077,39.32355205,religious
133,Church,"1601 DRUID HILL AVE Baltimore, MD ",-76.6314415036,39.3046553,religious
134,Church,"811 CATHEDRAL ST Baltimore, MD ",-76.6170687347,39.2987356122,religious
135,Church,"1801 PRESTON ST Baltimore, MD ",0.0,0.0,religious
136,Church,"711 WALNUT AVE Baltimore, MD ",-76.6883558686,39.29498575,religious
137,Church,"510 MONROE ST Baltimore, MD ",-76.6327555,39.4584216,religious
138,Church,"1325 MADISON AVE Baltimore, MD ",-76.6272506531,39.3034499796,religious
139,Church,"1800 GAY ST Baltimore, MD ",-76.6037093,39.2964393,religious
140,Church,"1654 SMALLWOOD ST Baltimore, MD ",0.0,0.0,religious
141,Church,"1201 BALTIMORE ST Baltimore, MD ",-76.5251439,39.295335,religious
142,Church,"2701 BALTIMORE ST Baltimore, MD ",-76.5251439,39.295335,religious
143,Church,"300 25TH ST Baltimore, MD ",0.0,0.0,religious
144,Church,"816 EUTAW ST Baltimore, MD ",-76.6205001,39.2831728,religious
145,Church,"2117 PENNSYLVANIA AVE Baltimore, MD ",-76.6386748,39.3071465,religious
146,Church,"2520 FRANCIS ST Baltimore, MD ",-76.6426518,39.3131117,religious
147,Church,"901 POPLAR GROVE ST Baltimore, MD ",-76.6649779,39.2981881,religious
148,Church,"1923 ASHLAND AVE Baltimore, MD ",-76.5900234989,39.3004825,religious
149,Church,"5827 MORAVIA RD Baltimore, MD ",-76.5463705,39.3181151667,religious
150,Church,"20 MONTGOMERY ST Baltimore, MD ",-76.7286,39.3001757,religious
151,Church,"1220 CHESTER ST Baltimore, MD ",0.0,0.0,religious
152,Church,"5116 CHARLES ST Baltimore, MD ",-76.6297372,39.4154699,religious
153,Church,"2500 LOMBARD ST Baltimore, MD ",0.0,0.0,religious
