the_geom,BLDG_NUM,PRG__NUM,NAME,GRADES,ADDRESS,ZIPCODE,CATEGORY,TYPE,x_1,y_1
POINT (-76.68405593738214 39.3504248673444),234,234,Arlington,Pre-K - 8.,3705 W. Rogers Avenue,21215,PK8,Traditional,1401680.58314,613370.595361
POINT (-76.54135412512879 39.351927051976624),235,235,Glenmount,Pre-K - 8.,6211 Walther Avenue,21206,PK8,Traditional,1442032.83806,614088.952192
POINT (-76.55763550453277 39.35981227652461),236,236,Hamilton,Pre-K - 8.,6101 Old Harford Road,21214,PK8,Traditional,1437414.78004,616938.311979
POINT (-76.56504372677948 39.289218945914016),237,237,Highlandtown #237,Pre-K - 8,231 S. Eaton Street,21224,PK8,Traditional,1435442.58385,591215.868017
POINT (-76.59350557053808 39.23267334667197),239,239,Benjamin Franklin #239 @ Masonville Cove,9-11,1201 Cambria Street,21225,HS,Traditional,1427478.55812,570583.364006
POINT (-76.53993926278049 39.28235583881185),240,240,Graceland Park / O'Donnell Heights,Pre-K - 8.,6300 O'Donnell Street,21224,PK8,Traditional,1442560.64606,588750.967107
POINT (-76.70542751257895 39.362117349359174),241,241,Fallstaff,Pre-K - 8.,3801 Fallstaff Road,21215,PK8,Traditional,1395623.09788,617609.234849
POINT (-76.58874704644755 39.35273407023308),242,242,Northwood,Pre-K - 5.,5201 Loch Raven Boulevard,21239,ES,Traditional,1428629.46494,614319.041955
POINT (-76.5527692931237 39.30473697743919),243,243,Armistead Garden,Pre-K - 8.,5001 E. Eager Street,21205,PK8,Traditional,1438888.99986,596884.773017
POINT (-76.591475079008 39.365312949396305),245,245,Leith Walk,Pre-K - 5.,1235 Sherwood Avenue,21239,ES,Traditional,1427837.52,618897.269019
POINT (-76.69344465717799 39.280739754475),246,246,Beechfield,Pre-K - 8.,301 S. Beechfield Avenue,21229,PK8,Traditional,1399110.74904,587979.891549
POINT (-76.68812057505501 39.36247916789855),247,247,Cross Country,Pre-K - 8.,6100 Cross Country Boulevard,21215,PK8,Traditional,1400516.13009,617757.277532
POINT (-76.56079458515046 39.315043187995336),248,248,Sinclair Lane,Pre-K - 5.,3880 Sinclair Lane,21213,ES,Traditional,1436599.99,600627.585086
POINT (-76.6425274818514 39.340810629569226),249,249,Medfield Heights,Pre-K - 5.,4300 Buchanan Avenue,21211,ES,Traditional,1413438.2591,609912.059299
POINT (-76.59866034957288 39.30672251242181),250,250,Dr. Bernard Harris Sr.,Pre-K - 5.,1400 N. Caroline Street,21213,ES,Traditional,1425899.82997,597547.610274
POINT (-76.67840433724254 39.3362520082909),251,251,Callaway,Pre-K - 5.,3701 Fernhill Avenue,21215,ES,Traditional,1403297.00412,608213.905215
POINT (-76.65686806625448 39.33311724235533),254,254,Dr. Martin Luther King Jr,Pre-K - 8.,3750 Greenspring Avenue,21211,PK8,Traditional,1409392.82493,607094.29164
POINT (-76.69404885917113 39.330322396665515),256,256,Calvin  M. Rodwell,Pre-K - 5.,3501 Hillsdale Road,21207,ES,Traditional,1398879.19012,606038.92072
POINT (-76.65676926530931 39.282357889662805),260,260,Frederick,Pre-K - 5.,2501 Frederick Avenue,21223,ES,Traditional,1409490.28504,588606.212147
POINT (-76.64960552948635 39.292482293725875),261,261,Lockerman Bundy,Pre-K - 5.,301 N. Pulaski Street,21223,ES,Traditional,1411503.93094,592301.524966
POINT (-76.65910200461924 39.29742961790904),202,262,Empowerment Academy,Pre-K - 8.,851 Braddish Avenue,21216,Charter,Charter,1408809.46914,594093.315674
POINT (-76.59429004943233 39.31344952824794),36,263,William C. March,6 - 8.,2050 N. Wolfe st,21213,MS,Traditional,1427125.58999,600003.266452
POINT (-76.65669430771982 39.31087316775245),301,301,William S. Baer School,Pre-K - 12.,2001 N. Warwick Avenue,21216,SPED,SPED,1409472.44387,598992.435797
POINT (-76.55374775022891 39.301185734916274),307,307,Claremont School,9 - 12.,5301 Erdman Avenue,21205,SPED,SPED,1438618.44496,595589.94982
POINT (-76.5875713636597 39.34698287194854),313,313,Lois T. Murray,Pre-K - 8.,1600 Arlington Avenue,21239,SPED,SPED,1428971.39207,612225.750209
POINT (-76.61887087898937 39.276502130885255),314,314,Sharp Leadenhall,K - 5.,150 W. West Street,21230,SPED,SPED,1420226.87511,586515.940081
POINT (-76.62213457638188 39.30794851966219),321,321,Midtown Academy,K - 8.,1398 Mount Royal Ave,21217,Charter,Charter,1419255.55291,597965.811866
POINT (-76.6429779653509 39.305690298395135),322,322,New Song Academy,Pre-K - 8.,1530 Presstman Street,21217,PK8,New Schools Initiative,1413360.87703,597119.556341
POINT (-76.59717631324715 39.28182230201764),323,323,The Crossroads School,6 - 8.,802 South Caroline Street,21231,Charter,Charter,1426359.78312,588480.065746
POINT (-76.65782997441289 39.34544277861354),82,324,Kipp Ujima Village Academy,5 - 8.,4701 Greenspring Avenue,21209,Charter,Charter,1409103.91015,611582.669803
POINT (-76.66431501929591 39.31788736653329),79,325,ConneXions Community Leadership Acad,6 - 12,2801 N. Dukeland St.,21216,Charter,Charter,1407306.76185,601539.218761
POINT (-76.53443442740685 39.348782149838655),326,326,City Neighbors Charter School,K - 8.,4301 Raspe Avenue,21206,Charter,Charter,1443995.46996,612953.375067
POINT (-76.57876191994905 39.292478227415025),327,327,Patterson Park Public Charter School,K - 8.,27 North Lakewood Avenue,21224,Charter,Charter,1431554.36099,592384.784314
POINT (-76.63843895614089 39.28177613094321),162,328,Southwest Baltimore Charter School,K-8,1300 Herkimer Street,21223,Charter,Charter,1414679.78516,588414.348357
POINT (-76.60047945631364 39.294039822484116),139,329,Inner Harbor East Academy,K-8,200 N. Central Avenue,21202,Charter,Charter,1425405.30012,592925.931854
POINT (-76.59176448744569 39.34573752983892),330,330,Northwood Appold Community Academy,K-5,4417 Loch Raven Boulevard,21218,Charter,Charter,1427787.58014,611766.822322
POINT (-76.65782997441289 39.34544277861354),82,331,MATHS (MD Academy of Technology & Health Sciences),6 - 12,4701 Greenspring Avenue,21209,Charter,Charter,1409103.91015,611582.669803
POINT (-76.57235350578289 39.32427862669836),332,332,The Green School,K - 5.,2800 Brendan Ave,21213,Charter,Charter,1433313.83089,603975.899583
POINT (-76.63644092102993 39.330915472428494),333,333,Independence School Local I,9 - 12.,1250 W. 36th Street,21211,Charter,Charter,1415174.0824,606314.696087
POINT (-76.59912005389688 39.30351695759635),26,334,Bluford Drew Jemison MST Academy,6 - 8,1130 N. Caroline Street,21213,Charter,Charter,1425774.87616,596379.476784
POINT (-76.53126618889172 39.36396752528557),335,335,Baltimore International Academy,K-8,3515 Taylor Ave,21236,Charter,Charter,1444863.04106,618489.010649
